,Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
82,2020,Deathstroke: Knights & Dragons - The Movie,314.39,325,average,"Animation, Action, Adventure, Science Fiction"
83,2021,The Last Duel,312.92,1848,popular,"Action, Drama, History"
84,2022,The Pirates: The Last Royal Treasure,311.94,38,average,"Action, Adventure, Comedy, History"
85,2021,Paranormal Activity: Next of Kin,310.01,300,below_avg,"Horror, Mystery, Thriller"
86,2021,House of Gucci,308.21,1276,average,"Drama, Crime, Thriller"
87,2021,Dark Spell,308.04,80,average,"Romance, Horror, Thriller"
88,2021,Jungle Cruise,307.94,4034,popular,"Action, Adventure, Comedy, Fantasy"
89,2021,Godzilla vs. Kong,307.52,7681,popular,"Action, Fantasy, Science Fiction"
90,2012,The Amazing Spider-Man,306.38,14564,average,"Action, Adventure, Fantasy"
91,2022,Heart Shot,302.27,16,not_popular,"Romance, Crime"
92,2009,Avatar,297.36,25011,popular,"Action, Adventure, Fantasy, Science Fiction"
93,2021,Mobile Suit Gundam Hathaway,292.6,77,popular,"Animation, Action, Drama, Science Fiction"
94,2021,Army of Thieves,290.54,1167,average,"Crime, Comedy"
95,2022,UFO,290.48,15,not_popular,"Drama, Romance"
96,2022,The Weekend Away,290.21,119,not_popular,"Thriller, Mystery"
97,2020,The Croods: A New Age,284.8,2877,popular,"Animation, Family, Adventure, Fantasy, Comedy"
98,2021,Back to the Outback,282.25,341,popular,"Animation, Family, Adventure, Comedy"
99,2021,The Tomorrow War,282.07,5182,popular,"Action, Science Fiction, Adventure"
100,2022,Home Team,280.61,368,average,"Family, Comedy"
101,2021,The Fallout,279.34,130,popular,Drama
102,2021,Raya and the Last Dragon,277.59,5048,popular,"Family, Fantasy, Animation, Action, Adventure"
103,2021,Infinite,276.46,912,average,"Science Fiction, Action, Thriller"
104,2021,Wrath of Man,273.62,3376,popular,"Action, Crime, Thriller"
105,2021,Fortress,273.35,163,below_avg,"Crime, Action, Thriller"
106,2021,Space Jam: A New Legacy,271.57,2952,average,"Family, Animation, Comedy, Science Fiction"
107,2022,Laura y el misterio del asesino inesperado,266.75,8,popular,"TV Movie, Mystery, Thriller, Comedy"
108,2021,The Conjuring: The Devil Made Me Do It,266.61,4233,popular,"Horror, Mystery, Thriller"
109,2005,Batman Begins,265.81,17338,popular,"Action, Crime, Drama"
110,2022,The Royal Treatment,264.99,390,average,"Romance, Comedy"
111,2021,Ciao Alberto,261.67,412,popular,"Animation, Comedy, Family, Fantasy"
112,2021,Gone Mom: The Disappearance of Jennifer Dulos,257.85,113,popular,"TV Movie, Thriller, Crime"
113,2021,Ripper Untold,257.47,75,average,Horror
114,2021,Meander,256.87,218,below_avg,"Horror, Science Fiction, Drama, Thriller"
115,2021,Zeros and Ones,256.44,117,not_popular,"Thriller, War"
116,2021,Snake Eyes: G.I. Joe Origins,254.31,1028,average,"Action, Adventure"
117,2021,Survive the Game,252.22,107,not_popular,"Action, Thriller, Crime"
118,2021,Riverdance: The Animated Adventure,250.83,28,not_popular,"Animation, Fantasy, Music, Adventure, Comedy, Family"
119,2021,Apex,249.46,402,not_popular,"Action, Thriller, Science Fiction"
120,2022,The Tinder Swindler,246.65,455,average,"Documentary, Crime"
121,2022,Love Tactics,244.57,83,average,"Romance, Comedy"
122,2021,The Addams Family 2,244.18,785,popular,"Animation, Adventure, Comedy, Family"
123,2021,Dynasty Warriors,242.34,84,below_avg,"Action, Adventure, Fantasy"
124,2021,Miraculous World: Shanghai – The Legend of Ladydragon,241.64,411,popular,"Animation, Comedy, Family, Adventure"
125,2020,"Miraculous World: New York, United HeroeZ",240.05,862,popular,"Animation, Family, Comedy, Adventure, TV Movie"
126,2022,Surviving Paradise: A Family Tale,240.0,7,average,Documentary
127,2019,My Hero Academia: Heroes Rising,239.6,890,popular,"Animation, Action, Fantasy, Adventure"
128,2021,Amina,237.26,92,below_avg,"War, History, Drama"
129,2021,Encounter,235.48,256,below_avg,"Adventure, Drama"
130,2021,Son,232.49,90,below_avg,"Horror, Thriller"
131,2020,Wonder Woman 1984,231.76,6599,average,"Action, Adventure, Fantasy"
132,2014,The Amazing Spider-Man 2,231.44,10763,below_avg,"Action, Adventure, Fantasy"
133,2021,The Whole Truth,231.33,109,below_avg,Horror
134,2022,Catwoman: Hunted,231.06,26,below_avg,"Animation, Action, Crime"
135,2016,Hacksaw Ridge,230.76,10667,popular,"Drama, History, War"
136,2021,Crazy Fist,230.55,44,popular,Action
137,2001,Harry Potter and the Philosopher's Stone,230.0,22210,popular,"Adventure, Fantasy"
138,2012,The Avengers,229.77,26490,popular,"Science Fiction, Action, Adventure"
139,2021,Dragon Fury,229.22,34,below_avg,"Horror, Fantasy, Mystery"
140,2021,Tarumama,228.9,19,not_popular,"Horror, Drama"
141,2016,Doctor Strange,228.27,18471,popular,"Action, Adventure, Fantasy, Science Fiction"
142,2021,Halloween Kills,227.82,1585,average,"Horror, Thriller"
143,2022,The Exorcism of God,226.77,7,not_popular,Horror
144,2019,Spider-Man: Far From Home,224.03,12176,popular,"Action, Adventure, Science Fiction"
145,2022,Harry Potter 20th Anniversary: Return to Hogwarts,222.91,1105,popular,Documentary
146,2020,After We Collided,221.99,4481,popular,"Romance, Drama"
147,2022,The Desperate Hour,221.84,21,not_popular,Thriller
148,2015,Dragon Ball Z: Resurrection 'F',220.05,1361,average,"Action, Animation, Science Fiction"
149,2021,Seal Team,220.02,126,average,"Animation, Family, Comedy"
150,2009,Knowing,218.41,4251,below_avg,"Action, Mystery, Science Fiction, Thriller"
151,2021,Witch Hunt,217.27,145,popular,"Fantasy, Horror, Thriller, Drama"
152,2014,The Maze Runner,215.47,14398,popular,"Action, Mystery, Science Fiction, Thriller"
153,2021,The Unholy,215.0,1543,average,Horror
154,2019,Ashfall,212.13,357,average,"Action, Adventure, Thriller"
155,2022,The Sky Is Everywhere,211.62,16,not_popular,"Drama, Romance, Music"
156,2021,Time Is Up,211.61,250,below_avg,"Romance, Drama"
157,2021,The Deep House,211.56,527,below_avg,Horror
158,2015,Boruto: Naruto the Movie,211.07,996,popular,"Animation, Action, Comedy"
159,2002,Harry Potter and the Chamber of Secrets,210.84,17901,popular,"Adventure, Fantasy"
160,2020,Sonic the Hedgehog,210.75,7559,popular,"Action, Science Fiction, Comedy, Family"
161,2017,Coco,210.53,15355,popular,"Family, Animation, Fantasy, Music, Comedy, Adventure"
162,2017,Ava,210.44,130,below_avg,Drama
163,2014,Fury,210.26,9757,popular,"War, Drama, Action"
164,2021,Don't Breathe 2,209.06,1490,popular,"Thriller, Horror"
165,2021,Matando Cabos 2: La Máscara del Máscara,209.02,70,popular,"Action, Comedy, Adventure"
166,2020,Monster Hunter,208.74,2460,average,"Action, Fantasy, Adventure"
167,2014,The Last: Naruto the Movie,208.37,1139,popular,"Action, Romance, Animation"
168,2017,Spider-Man: Homecoming,207.82,18174,popular,"Action, Adventure, Science Fiction, Drama"
169,2022,Bigbug,207.03,176,not_popular,"Science Fiction, Comedy"
170,2002,Spider-Man,206.38,15336,popular,"Fantasy, Action"
171,2019,Avengers: Endgame,205.31,20521,popular,"Adventure, Science Fiction, Action"
172,2021,Old,205.16,2288,average,"Thriller, Mystery, Horror"
173,2011,Real Steel,203.84,6561,average,"Action, Science Fiction, Drama"
174,2022,Love and Leashes,203.74,68,below_avg,"Romance, Comedy"
175,2019,After,203.01,6973,popular,"Romance, Drama"
176,2021,The Forever Purge,202.7,1652,popular,"Horror, Action, Thriller"
177,2022,Tall Girl 2,202.01,127,below_avg,"Comedy, Drama, Romance"
178,2022,Dog,200.25,32,popular,"Drama, Comedy"
179,2007,I Am Legend,199.25,13042,popular,"Drama, Science Fiction, Thriller"
180,2007,Naruto Shippuden the Movie,198.01,418,popular,"Animation, Action, Fantasy"
181,2021,Tom & Jerry,197.72,1948,average,"Comedy, Family, Animation"
182,2022,Against the Ice,195.99,117,average,"Adventure, History, Drama"
183,2021,An Egg Rescue,194.62,295,popular,"Animation, Comedy"
184,2005,Harry Potter and the Goblet of Fire,193.46,16947,popular,"Adventure, Fantasy, Family"
