,Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1773,2014,Parasyte: Part 1,44.34,176,average,"Science Fiction, Horror"
1774,2021,The House of Flowers: The Movie,44.34,90,popular,Drama
1775,2011,Puss in Boots,44.32,2509,below_avg,"Animation, Adventure, Comedy, Family"
1776,2007,The Game Plan,44.31,1603,below_avg,"Comedy, Family"
1777,2019,Cold Pursuit,44.26,1991,not_popular,"Action, Crime, Thriller"
1778,1992,Dragon Ball Z: Gather Together! Goku's World,44.24,70,popular,"Action, Animation, Adventure"
1779,2012,The Lorax,44.23,2745,below_avg,"Animation, Family"
1780,1997,Neon Genesis Evangelion: The End of Evangelion,44.22,1025,popular,"Drama, Science Fiction, Animation, Action"
1781,1990,Child's Play 2,44.21,1317,below_avg,"Horror, Thriller"
1782,2004,Eternal Sunshine of the Spotless Mind,44.19,12044,popular,"Science Fiction, Drama, Romance"
1783,2015,I Spit on Your Grave III: Vengeance is Mine,44.16,736,not_popular,"Horror, Thriller"
1784,2021,My Son,44.15,180,below_avg,"Crime, Drama, Mystery"
1785,2014,The Lego Movie,44.14,6476,popular,"Adventure, Animation, Comedy, Family, Fantasy"
1786,2020,Ghosts of War,44.14,279,below_avg,"Horror, Thriller, War, Fantasy"
1787,2020,Digimon Adventure: Last Evolution Kizuna,44.09,100,popular,"Animation, Action, Thriller, Adventure, Fantasy"
1788,2014,Born to Race: Fast Track,44.08,75,average,Action
1789,2008,Quantum of Solace,44.06,6441,below_avg,"Adventure, Action, Thriller, Crime"
1790,2009,The Lovely Bones,44.05,3724,average,"Fantasy, Drama"
1791,2015,No Escape,44.05,2082,average,Thriller
1792,2008,The Curious Case of Benjamin Button,44.04,10520,popular,"Drama, Fantasy, Romance"
1793,2020,12 Hour Shift,44.04,155,not_popular,"Thriller, Horror, Comedy, Crime"
1794,2014,Toy Story That Time Forgot,44.03,782,average,"Animation, Family, Adventure, Comedy"
1795,2015,Justice League: Gods and Monsters,44.02,444,popular,"Action, Animation, Fantasy"
1796,2021,All About Sex,44.02,3,popular,"Comedy, Drama, Romance"
1797,2017,Rings,44.01,2207,not_popular,Horror
1798,2001,I Am Sam,44.01,1818,popular,Drama
1799,1988,Who Framed Roger Rabbit,44.01,4564,popular,"Fantasy, Animation, Comedy, Crime, Family"
1800,2013,Don Jon,44.0,3692,below_avg,"Romance, Comedy, Drama"
1801,2014,Mr. Peabody & Sherman,43.99,1972,average,"Animation, Adventure, Family"
1802,2003,Hulk,43.98,4698,not_popular,"Action, Science Fiction"
1803,1999,Romance,43.88,165,not_popular,"Drama, Romance"
1804,1982,Rocky III,43.85,3125,average,Drama
1805,2020,Psycho Goreman,43.79,208,below_avg,"Science Fiction, Comedy, Horror"
1806,2017,Guardians,43.75,594,not_popular,"Action, Fantasy, Science Fiction"
1807,1993,Leprechaun,43.72,546,not_popular,"Comedy, Horror, Thriller"
1808,2018,Goosebumps 2: Haunted Halloween,43.72,1153,below_avg,"Adventure, Comedy, Fantasy, Family, Horror"
1809,1976,Taxi Driver,43.7,9124,popular,"Crime, Drama"
1810,1973,Robin Hood,43.69,3596,popular,"Animation, Family"
1811,1998,Meet Joe Black,43.68,3801,popular,"Fantasy, Drama, Romance"
1812,2006,V for Vendetta,43.67,12002,popular,"Action, Thriller, Fantasy"
1813,2014,Neighbors,43.66,6051,below_avg,Comedy
1814,2003,Sinbad: Legend of the Seven Seas,43.66,1610,average,"Family, Animation, Adventure, Comedy, Fantasy, Action"
1815,2012,Tangled Ever After,43.63,870,average,"Animation, Comedy, Action, Family"
1816,2013,2 Guns,43.62,3390,below_avg,"Action, Comedy, Crime"
1817,2014,The Other Woman,43.61,3070,below_avg,"Comedy, Romance"
1818,2000,Cast Away,43.6,9245,popular,"Adventure, Drama"
1819,2012,Resident Evil: Damnation,43.57,620,average,"Animation, Horror, Action"
1820,1965,Operation Y and Other Shurik's Adventures,43.55,192,popular,Comedy
1821,2009,Sherlock Holmes,43.53,12026,popular,"Action, Adventure, Crime, Mystery"
1822,2013,Percy Jackson: Sea of Monsters,43.52,4391,below_avg,"Adventure, Family, Fantasy"
1823,2013,Hunter x Hunter: The Last Mission,43.49,122,popular,"Adventure, Animation, Action, Fantasy"
1824,2008,Saw V,43.49,2666,below_avg,"Horror, Thriller, Crime"
1825,2002,The Pianist,43.48,7101,popular,"Drama, War"
1826,2021,BIA: An Upside Down World,43.48,114,popular,"Comedy, Drama, Family"
1827,2009,Sin Nombre,43.46,493,popular,"Drama, Action, Thriller, Crime"
1828,2020,Intersect,43.45,43,not_popular,"Horror, Science Fiction, Thriller"
1829,2011,Paranormal Activity 3,43.44,1775,not_popular,"Horror, Mystery"
1830,2016,Kingsglaive: Final Fantasy XV,43.41,538,average,"Animation, Science Fiction, Action"
1831,2018,Death Race: Beyond Anarchy,43.36,226,below_avg,"Action, Thriller, Science Fiction"
1832,2001,Black Hawk Down,43.36,4476,popular,"Action, History, War"
1833,2009,Saw VI,43.35,2427,below_avg,"Horror, Mystery"
1834,2012,Silver Linings Playbook,43.35,10365,average,"Drama, Comedy, Romance"
1835,1946,It's a Wonderful Life,43.31,3236,popular,"Drama, Family, Fantasy"
1836,2005,Robots,43.31,3733,below_avg,"Animation, Comedy, Family, Science Fiction"
1837,1996,Kama Sutra: A Tale of Love,43.3,118,not_popular,"Drama, History, Romance"
1838,2011,Zookeeper,43.29,1341,not_popular,"Comedy, Romance, Family"
1839,2019,The Boy Who Harnessed the Wind,43.28,1216,popular,"Drama, History, Family"
1840,2018,Modest Heroes,43.27,117,average,"Animation, Fantasy, Adventure, Drama"
1841,2017,Wonder,43.27,6728,popular,"Drama, Family"
1842,1997,Good Will Hunting,43.25,9404,popular,Drama
1843,2007,Bridge to Terabithia,43.21,3772,popular,"Adventure, Drama, Family"
1844,2021,Dog Years,43.19,87,below_avg,"Romance, Comedy"
1845,2005,Son of the Mask,43.18,1428,not_popular,"Fantasy, Comedy, Family, Adventure"
1846,2018,Suicide Squad: Hell to Pay,43.13,445,popular,"Science Fiction, Action, Animation"
1847,2013,Underdogs,43.12,340,below_avg,"Animation, Adventure, Romance"
1848,2017,Overdrive,43.09,776,below_avg,"Thriller, Action, Mystery"
1849,2008,Barbie and the Diamond Castle,43.08,659,popular,"Animation, Family"
1850,2019,The Lego Movie 2: The Second Part,43.06,1636,average,"Action, Adventure, Animation, Comedy, Family"
1851,2018,Nothing to Lose,43.06,72,not_popular,"Drama, History"
1852,2003,A Tale of Two Sisters,43.04,828,average,"Drama, Horror, Mystery"
1853,2018,Flavors of Youth,43.03,452,average,"Animation, Romance, Drama"
1854,1989,Indiana Jones and the Last Crusade,42.99,7987,popular,"Adventure, Action"
1855,2020,Cranston Academy: Monster Zone,42.98,77,below_avg,"Adventure, Science Fiction, Animation, Fantasy, Horror"
1856,2011,Courageous,42.95,262,popular,Drama
1857,2006,The Host,42.92,2068,average,"Horror, Drama, Science Fiction"
1858,2006,The Da Vinci Code,42.9,7717,average,"Thriller, Mystery"
1859,2013,The Garden of Words,42.88,1525,popular,"Animation, Drama, Romance"
1860,2021,Boss Level,42.84,938,average,"Action, Science Fiction, Thriller"
1861,2008,Ong Bak 2,42.83,494,below_avg,"Adventure, Action, Thriller"
1862,2003,Leprechaun: Back 2 tha Hood,42.81,120,not_popular,"Horror, Comedy"
1863,2004,The Grudge,42.8,2351,not_popular,"Horror, Mystery, Thriller"
1864,1986,Aliens,42.78,7527,popular,"Action, Thriller, Science Fiction"
1865,2021,The Boy Who Killed My Parents,42.77,145,below_avg,"Crime, Drama, Thriller"
1866,2019,Crawl,42.75,2460,below_avg,"Thriller, Horror, Action"
1867,2001,Planet of the Apes,42.74,3218,not_popular,"Thriller, Science Fiction, Action, Adventure"
1868,2012,Dark Shadows,42.71,6107,below_avg,"Comedy, Fantasy"
1869,2021,Pleasure,42.7,77,below_avg,Drama
1870,2010,The Legend of Siren XXX,42.68,10,not_popular,Horror
1871,2015,Self/less,42.68,2572,below_avg,"Science Fiction, Mystery, Thriller"
1872,2015,The Transporter Refueled,42.66,1243,not_popular,"Action, Thriller, Crime"
1873,2018,Red Sparrow,42.66,5087,below_avg,"Mystery, Thriller"
1874,1981,Friday the 13th Part 2,42.65,1199,below_avg,"Horror, Thriller"
1875,2017,The Dark Tower,42.64,4237,not_popular,"Fantasy, Action, Science Fiction, Adventure"
1876,2013,Goodbye World,42.61,114,not_popular,"Drama, Comedy"
1877,2016,Allegiant,42.6,5687,below_avg,"Adventure, Science Fiction, Action, Mystery"
1878,2011,The Good Doctor,42.6,185,below_avg,"Drama, Thriller, Mystery"
1879,1997,Turbo: A Power Rangers Movie,42.6,210,not_popular,"Action, Adventure, Family, Fantasy, Science Fiction, Thriller"
1880,2017,The Son of Bigfoot,42.6,374,average,"Family, Animation, Comedy"
1881,2008,Never Back Down,42.58,1890,average,"Drama, Action"
1882,2017,Jigsaw,42.53,2918,below_avg,"Horror, Crime, Mystery, Thriller"
1883,2011,50 Greatest Harry Potter Moments,42.53,49,popular,Documentary
1884,2004,Cashback,42.51,88,average,"Drama, Comedy"
1885,2021,The Intruder,42.51,13,not_popular,Thriller
1886,2020,"Yes, God, Yes",42.47,353,below_avg,"Comedy, Drama"
1887,2014,If I Stay,42.46,3783,popular,Drama
1888,2011,War of the Arrows,42.46,189,popular,"Drama, Action, History, Thriller"
1889,2006,Garfield: A Tail of Two Kitties,42.46,1717,not_popular,"Comedy, Family, Adventure, Animation"
1890,1989,Ghostbusters II,42.39,3381,below_avg,"Comedy, Fantasy"
1891,2005,Chicken Little,42.37,3206,not_popular,"Animation, Family, Comedy"
1892,1990,Die Hard 2,42.37,4560,average,"Action, Thriller"
1893,2017,Dunkirk,42.36,13836,popular,"War, Action, Drama"
1894,1981,Raiders of the Lost Ark,42.35,9903,popular,"Adventure, Action"
1895,2016,Deepwater Horizon,42.34,3709,average,"Drama, Action"
1896,2019,Steven Universe: The Movie,42.31,643,popular,"Animation, Family, Fantasy, Music, TV Movie, Science Fiction"
1897,1999,The Blair Witch Project,42.31,3647,below_avg,"Horror, Mystery"
1898,2006,Hostel,42.28,2848,not_popular,Horror
1899,2009,Where the Wild Things Are,42.27,1489,below_avg,"Family, Fantasy, Science Fiction, Drama"
1900,2016,Inferno,42.26,5420,below_avg,"Mystery, Thriller, Drama, Action"
1901,2014,Paranormal Activity: The Marked Ones,42.24,1161,not_popular,"Horror, Thriller"
1902,2004,Dawn of the Dead,42.23,3059,average,"Action, Horror"
1903,2019,Promare,42.22,172,average,"Animation, Action, Science Fiction"
1904,2003,Naruto: The Lost Story - Mission: Protect the Waterfall Village!,42.17,57,average,"Animation, Action, Adventure"
1905,2017,The Boss Baby,42.14,6128,below_avg,"Animation, Comedy, Family"
1906,2020,Dolittle,42.11,2896,average,"Family, Fantasy, Adventure"
1907,2017,The Case for Christ,42.11,205,average,Drama
1908,2011,Mr. Popper's Penguins,42.1,2387,not_popular,"Comedy, Family"
1909,2011,3-D Sex and Zen: Extreme Ecstasy,42.08,62,not_popular,"Drama, Adventure, Romance"
1910,2018,On Your Wedding Day,42.07,123,popular,Romance
1911,2007,3:10 to Yuma,42.06,2772,popular,Western
1912,2020,Castle Freak,42.04,36,not_popular,Horror
1913,2015,Home,42.03,3312,average,"Fantasy, Comedy, Animation, Science Fiction, Family"
1914,2015,Woodlawn,42.02,145,average,Drama
1915,2005,Star Wars: Episode III - Revenge of the Sith,42.0,11189,popular,"Science Fiction, Adventure, Action"
1916,2007,Zodiac,41.95,8177,popular,"Crime, Drama, Mystery, Thriller"
1917,2014,Halo: Nightfall,41.92,105,average,Science Fiction
1918,1990,Night of the Living Dead,41.91,651,average,Horror
1919,2004,Three Steps Over Heaven,41.9,592,not_popular,"Drama, Romance"
1920,2001,Thir13en Ghosts,41.9,1579,below_avg,"Horror, Thriller"
1921,2010,Diary of a Wimpy Kid,41.88,1224,below_avg,"Comedy, Family"
1922,1989,Saint Seiya: Warriors of the Final Holy Battle,41.87,148,popular,"Action, Animation, Fantasy"
1923,2011,One Piece 3D: Straw Hat Chase,41.87,103,average,Animation
1924,2018,Overboard,41.86,1129,average,"Romance, Comedy"
1925,2008,Beethoven's Big Break,41.86,117,not_popular,"Comedy, Family"
1926,2004,Van Helsing,41.8,4734,below_avg,"Horror, Adventure, Action"
1927,2011,I Am Number Four,41.8,3958,below_avg,"Action, Thriller, Science Fiction, Adventure"
1928,2006,Rocky Balboa,41.75,2687,average,"Drama, Action"
1929,2001,The Princess Diaries,41.74,4058,average,"Comedy, Family, Romance"
1930,2006,Death Note,41.73,500,average,"Fantasy, Mystery, Thriller"
1931,2009,Tinker Bell and the Lost Treasure,41.71,772,average,"Animation, Family, Adventure, Fantasy"
1932,1996,Space Jam,41.68,4985,average,"Family, Animation, Comedy, Science Fiction"
1933,2016,League of Gods,41.66,94,not_popular,"Action, Fantasy"
1934,2021,Homunculus,41.61,64,not_popular,"Drama, Thriller"
1935,2020,Beasts Clawing at Straws,41.61,131,popular,"Mystery, Thriller, Crime, Comedy, Drama"
1936,2009,Watchmen,41.57,7446,popular,"Action, Mystery, Science Fiction"
1937,2014,Into the Storm,41.56,1698,below_avg,"Action, Thriller"
1938,2017,Smurfs: The Lost Village,41.56,1176,below_avg,"Family, Adventure, Animation, Comedy"
1939,2008,My Best Friend's Girl,41.53,589,not_popular,"Romance, Comedy"
1940,1998,The Prince of Egypt,41.53,3106,popular,"Adventure, Animation, Drama, Family"
1941,1985,The Goonies,41.5,4604,popular,"Adventure, Comedy, Family"
1942,2010,Date Night,41.48,2352,below_avg,"Comedy, Action, Adventure"
1943,1997,The Fifth Element,41.47,8809,popular,"Adventure, Fantasy, Action, Thriller, Science Fiction"
1944,2018,Braven,41.42,800,below_avg,"Drama, Action, Thriller"
1945,2015,Vacation,41.34,3045,below_avg,Comedy
1946,2021,Lucas,41.34,17,not_popular,Drama
1947,1993,Jason Goes to Hell: The Final Friday,41.34,690,not_popular,Horror
1948,2021,The Girl Who Killed Her Parents,41.32,171,below_avg,"Crime, Drama, Thriller"
1949,1998,Armageddon,41.32,6449,average,"Action, Thriller, Science Fiction, Adventure"
1950,2016,The Autopsy of Jane Doe,41.31,3239,average,"Horror, Mystery"
1951,2016,The Huntsman: Winter's War,41.31,4151,below_avg,"Action, Adventure, Drama"
1952,2017,The Foreigner,41.3,1904,average,"Action, Thriller"
1953,2011,The Hidden Face,41.29,773,popular,"Thriller, Mystery"
1954,1994,The Tit and the Moon,41.27,53,below_avg,"Drama, Comedy"
1955,2015,Beyond the Boundary: I'll Be Here – Past,41.26,44,average,"Animation, Fantasy, Action, Drama, Comedy"
1956,2021,The Wolf and the Lion,41.25,74,popular,"Adventure, Family"
1957,2005,Zathura: A Space Adventure,41.23,2610,below_avg,"Family, Fantasy, Science Fiction, Adventure, Comedy"
1958,2021,Flashback,41.22,61,below_avg,Comedy
1959,2005,American Pie Presents: Band Camp,41.22,1716,not_popular,Comedy
1960,2014,The Drop,41.18,1763,average,"Drama, Crime"
1961,2017,Shot Caller,41.16,1631,average,"Crime, Drama, Thriller"
1962,2012,Emperor,41.14,192,below_avg,"Drama, History, War"
1963,2020,Playhouse,41.11,21,not_popular,"Horror, Thriller"
1964,2005,Mr. & Mrs. Smith,41.11,8430,average,"Action, Comedy, Drama, Thriller"
1965,1999,"Sex, Shame & Tears",41.09,80,average,"Comedy, Drama, Romance"
1966,2005,Lilo & Stitch 2: Stitch Has a Glitch,41.08,1128,average,"Animation, Family, Comedy, Science Fiction"
1967,2018,Alpha,41.07,2113,below_avg,"Adventure, Drama"
1968,2012,Get the Gringo,41.06,1282,below_avg,"Action, Thriller, Crime, Drama"
1969,1991,Freddy's Dead: The Final Nightmare,41.05,958,not_popular,"Horror, Thriller"
1970,2013,Adore,41.05,799,below_avg,Drama
1971,2018,Green Book,41.04,8792,popular,"Drama, Comedy"
1972,2002,Men in Black II,41.01,8237,below_avg,"Action, Adventure, Comedy, Science Fiction"
1973,1964,Mary Poppins,40.99,3894,popular,"Comedy, Family, Fantasy"
1974,2020,Young Mother 5,40.98,3,below_avg,"Drama, Romance"
1975,2021,Maggie Simpson in The Force Awakens from Its Nap,40.98,123,average,"Family, Animation, Comedy, Science Fiction"
1976,2003,Kill Bill: Vol. 1,40.95,14358,popular,"Action, Crime"
1977,2017,Fate/stay night: Heaven's Feel I. Presage Flower,40.95,143,popular,"Action, Animation, Drama, Fantasy, Romance"
1978,2021,Xtreme,40.94,189,average,"Action, Adventure, Crime"
1979,2020,His House,40.93,749,below_avg,"Drama, Horror, Thriller"
1980,2019,Innocent Witness,40.92,44,popular,Drama
1981,2013,G.I. Joe: Retaliation,40.91,4798,not_popular,"Science Fiction, Adventure, Action, Thriller"
1982,2018,Open 24 Hours,40.88,82,not_popular,"Horror, Thriller"
1983,1998,Pocahontas II: Journey to a New World,40.85,1132,not_popular,"Family, Adventure, Animation, Romance"
1984,2017,S.W.A.T.: Under Siege,40.85,258,not_popular,"Action, Crime, Thriller"
1985,1978,Grease,40.84,5986,popular,"Romance, Comedy"
1986,2013,It Boy,40.84,987,below_avg,Comedy
1987,1979,Jesus,40.8,149,popular,"Drama, History"
1988,2016,Kuroko no Basket Movie 3: Winter Cup Soushuuhen - Tobira no Mukou,40.78,3,popular,Animation
1989,1999,10 Things I Hate About You,40.78,6326,popular,"Comedy, Romance, Drama"
1990,2008,Transporter 3,40.75,2688,below_avg,"Action, Adventure, Thriller, Crime"
1991,2021,Carnaval,40.74,53,not_popular,Comedy
1992,2002,Stuart Little 2,40.73,1969,not_popular,"Family, Adventure, Animation, Comedy"
1993,2002,The Ring,40.72,4954,average,"Horror, Mystery"
1994,2012,The Scorpion King 3: Battle for Redemption,40.7,261,not_popular,"Action, Adventure, Fantasy, Drama"
1995,2017,Olaf's Frozen Adventure,40.7,1254,below_avg,"Animation, Family, Adventure, Comedy, Fantasy"
1996,2001,Jason X,40.7,987,not_popular,"Horror, Science Fiction"
1997,2021,Ghost Lab,40.68,90,below_avg,"Drama, Horror, Science Fiction, Thriller"
1998,2013,Warm Bodies,40.67,5328,below_avg,"Horror, Comedy, Romance"
1999,2021,A Naija Christmas,40.66,33,popular,"Comedy, Romance"
2000,2019,Better Days,40.66,222,popular,Drama
2001,1992,Porco Rosso,40.62,2402,popular,"Family, Comedy, Animation, Adventure"
2002,2003,Doraemon: Nobita and the Windmasters,40.62,38,popular,"Animation, Fantasy"
2003,2006,Superman Returns,40.61,3384,not_popular,"Science Fiction, Action, Adventure"
2004,2016,Why Him?,40.6,3498,below_avg,Comedy
2005,2002,8 Mile,40.56,5762,average,"Music, Drama"
2006,2014,Sekaiichi Hatsukoi Movie,40.54,18,below_avg,"Animation, Romance, Drama"
2007,1997,Tomorrow Never Dies,40.52,2390,below_avg,"Adventure, Action, Thriller"
2008,2013,Carrie,40.5,3784,below_avg,"Drama, Horror"
2009,2018,Bungo Stray Dogs: Dead Apple,40.49,89,popular,"Animation, Action, Comedy, Mystery, Crime, Fantasy"
2010,2020,Love and Monsters,40.47,2941,popular,"Comedy, Action, Adventure, Fantasy"
2011,2009,Summer Wars,40.45,694,popular,Animation
2012,1982,Blade Runner,40.44,11229,popular,"Science Fiction, Drama, Thriller"
2013,1989,Pet Sematary,40.42,1634,average,Horror
2014,1968,2001: A Space Odyssey,40.4,9151,popular,"Science Fiction, Mystery, Adventure"
2015,2015,Spy,40.4,5192,average,"Action, Comedy, Crime"
2016,2013,Kick-Ass 2,40.39,5178,below_avg,"Action, Adventure, Crime"
2017,2011,Barbie: A Fairy Secret,40.39,375,average,"Animation, Family, Fantasy"
2018,1994,Speed,40.38,4793,average,"Action, Adventure, Crime"
2019,2020,Death of Me,40.38,175,not_popular,"Horror, Mystery"
2020,2021,Last Summer,40.38,35,not_popular,"Romance, Drama"
2021,1996,Mission: Impossible,40.35,6886,average,"Adventure, Action, Thriller"
2022,2005,Aloha Scooby-Doo!,40.34,330,average,"Mystery, Family, Animation, Adventure, Comedy"
2023,1998,American History X,40.34,9399,popular,Drama
2024,1995,Ghost in the Shell,40.34,2470,popular,"Action, Animation, Science Fiction"
2025,2010,Leap Year,40.32,1668,average,"Romance, Comedy"
2026,2014,"As Above, So Below",40.32,2612,average,"Horror, Thriller"
2027,1988,Die Hard,40.27,8950,popular,"Action, Thriller"
2028,2006,Silent Hill,40.26,3317,below_avg,"Horror, Mystery"
2029,2015,One Punch Man: Road to Hero,40.24,110,popular,"Action, Animation"
2030,2001,Not Another Teen Movie,40.23,1563,not_popular,Comedy
2031,1984,Dune,40.19,2124,below_avg,"Action, Science Fiction, Adventure"
2032,2007,Barbie as the Island Princess,40.14,559,popular,"Animation, Family"
2033,2014,Bermuda Tentacles,40.1,57,not_popular,Science Fiction
2034,2003,Freaky Friday,40.1,3009,below_avg,"Comedy, Family, Romance, Fantasy"
2035,2021,Barb & Star Go to Vista Del Mar,40.09,131,not_popular,Comedy
2036,2021,Father Christmas Is Back,40.09,91,not_popular,"Comedy, Family"
2037,1995,The Indian in the Cupboard,40.08,473,below_avg,"Adventure, Family, Fantasy"
2038,2021,The Worst Person in the World,40.06,233,popular,"Comedy, Drama, Romance"
2039,2009,Killer Bean Forever,40.03,106,average,"Action, Animation, Crime, Thriller"
2040,2017,Desire,40.02,109,not_popular,"Romance, Drama"
2041,2015,Sexo salvaje,40.01,8,average,"Romance, Drama"
2042,1987,Saint Seiya: Evil Goddess Eris,40.01,153,average,"Action, Animation, Fantasy"
2043,2013,Man of Tai Chi,39.99,688,below_avg,"Action, Drama"
2044,2013,Homefront,39.99,2783,average,"Action, Thriller"
2045,1997,Alien Resurrection,39.98,3742,below_avg,"Science Fiction, Horror, Action"
2046,2015,The Wedding Ringer,39.98,1331,below_avg,Comedy
2047,2004,The Butterfly Effect,39.97,5944,popular,"Science Fiction, Thriller"
2048,2014,The Raid 2,39.96,1815,popular,"Action, Crime, Thriller"
2049,2013,This Is the End,39.94,5295,below_avg,"Action, Comedy"
2050,2010,Scott Pilgrim vs. the World,39.93,6215,popular,"Action, Comedy, Fantasy, Romance"
2051,2009,A Christmas Carol,39.92,3732,average,"Animation, Family, Drama, Fantasy"
2052,2011,The Help,39.91,6085,popular,Drama
2053,2011,Jack and Jill,39.89,1713,not_popular,Comedy
2054,2021,Happier Than Ever: A Love Letter to Los Angeles,39.88,83,popular,Music
2055,2014,St. Vincent,39.88,1541,average,Comedy
2056,2012,Blue Lagoon: The Awakening,39.86,1171,below_avg,"Drama, Adventure, Romance, TV Movie"
2057,1985,The Return of the Living Dead,39.84,1283,popular,"Comedy, Horror"
2058,2010,Life As We Know It,39.84,2678,average,"Comedy, Romance, Drama"
2059,2019,No Mercy,39.82,85,average,"Action, Crime, Thriller, Mystery"
2060,2008,Eagle Eye,39.81,2316,below_avg,"Mystery, Thriller, Action"
2061,2018,Checkered Ninja,39.8,149,popular,"Animation, Comedy, Adventure, Fantasy, Family"
2062,2016,Collateral Beauty,39.77,4808,popular,"Drama, Romance"
2063,2010,The Spy Next Door,39.77,1029,not_popular,"Action, Comedy, Family"
2064,2001,Atlantis: The Lost Empire,39.76,3834,average,"Animation, Family, Adventure, Science Fiction"
2065,1988,The Bear,39.74,345,average,"Adventure, Drama, Family"
2066,2007,Elite Squad,39.74,1728,popular,"Drama, Action, Crime"
2067,1998,The Rugrats Movie,39.73,457,below_avg,"Family, Animation, Comedy, Adventure"
2068,2006,Blood Diamond,39.73,6111,popular,"Drama, Thriller, Action"
2069,2008,The Spiderwick Chronicles,39.71,2127,average,"Family, Adventure, Fantasy, Drama"
2070,2012,Battleship,39.7,4558,not_popular,"Thriller, Action, Adventure, Science Fiction"
2071,2015,Justice League: Throne of Atlantis,39.7,704,average,"Science Fiction, Action, Animation, Adventure"
2072,2005,Transporter 2,39.7,2819,below_avg,"Action, Thriller, Crime"
2073,2016,Ouija: Origin of Evil,39.69,2016,below_avg,"Horror, Thriller"
2074,2005,The Amityville Horror,39.68,1741,below_avg,Horror
2075,1988,Bloodsport,39.66,1327,average,"Action, Drama"
2076,2000,Mission: Impossible II,39.66,5179,below_avg,"Adventure, Action, Thriller"
2077,1986,Friday the 13th Part VI: Jason Lives,39.64,832,below_avg,"Horror, Mystery, Thriller"
2078,2004,Kung Fu Hustle,39.62,2061,popular,"Action, Comedy, Crime, Fantasy"
2079,2021,Friendzone,39.62,174,below_avg,"Romance, Comedy"
2080,2019,Scary Stories to Tell in the Dark,39.61,2078,below_avg,"Horror, Thriller"
2081,2016,Jason Bourne,39.61,4836,below_avg,"Action, Thriller"
2083,2011,La leyenda de la Llorona,39.59,174,popular,"Family, Animation"
2084,2018,The Little Mermaid,39.58,758,not_popular,"Family, Adventure, Fantasy, Romance, Drama"
2085,2013,We Are the Nobles,39.57,384,popular,Comedy
2086,2008,Role Models,39.55,1453,below_avg,Comedy
2087,2011,Drive Angry,39.54,1474,not_popular,"Fantasy, Thriller, Action, Crime"
2088,2010,Nanny McPhee and the Big Bang,39.53,1494,below_avg,"Comedy, Fantasy, Family"
2089,2019,Bayala: A Magical Adventure,39.52,16,not_popular,"Adventure, Animation, Family, Fantasy"
2090,2014,The Judge,39.51,3370,popular,Drama
2091,2017,Animal Crackers,39.49,141,below_avg,"Comedy, Animation, Adventure"
2092,2021,Ferry,39.49,149,average,"Action, Crime, Drama"
2093,2022,The Legend of La Llorona,39.47,14,not_popular,"Horror, Thriller"
2094,2014,Sabotage,39.46,1143,not_popular,"Action, Drama, Thriller, Crime"
2095,2017,Rough Night,39.44,1728,not_popular,"Drama, Comedy"
2096,1980,The Blue Lagoon,39.44,1420,below_avg,"Romance, Adventure"
2097,2018,Mile 22,39.44,1782,below_avg,"Action, Thriller"
2098,2021,Reminiscence,39.42,1090,average,"Science Fiction, Mystery"
2099,2010,Titanic II,39.4,295,not_popular,"Action, Adventure, Thriller"
2100,2022,The Grandmother,39.39,12,average,Horror
2101,2015,It Follows,39.39,5112,average,"Horror, Mystery"
2102,2013,Independence Daysaster,39.38,63,not_popular,"Action, Science Fiction"
2103,2008,Death Race,39.38,3006,below_avg,"Action, Thriller, Science Fiction"
2104,2009,Ghosts of Girlfriends Past,39.33,1927,not_popular,"Fantasy, Comedy, Romance"
2105,2005,The Exorcism of Emily Rose,39.33,2205,below_avg,"Crime, Drama, Horror, Thriller"
2106,2016,Kizumonogatari Part 2: Nekketsu,39.32,130,popular,"Animation, Fantasy, Mystery"
2107,2013,The Marine 3: Homefront,39.32,147,below_avg,Action
2108,2021,The Guide to the Perfect Family,39.25,81,below_avg,"Comedy, Drama"
2109,2021,14 Peaks: Nothing Is Impossible,39.25,152,popular,Documentary
2110,2009,Evangelion: 2.0 You Can (Not) Advance,39.25,581,popular,"Animation, Science Fiction, Action, Drama"
2111,2001,Ocean's Eleven,39.23,9543,popular,"Thriller, Crime"
2112,1995,Leprechaun 3,39.21,211,not_popular,"Comedy, Fantasy, Horror"
2113,1978,Halloween,39.21,4104,popular,"Horror, Thriller"
2114,2014,Left Behind,39.2,1073,not_popular,"Thriller, Action, Science Fiction"
2115,2009,Splice,39.19,1722,not_popular,"Horror, Thriller, Science Fiction"
2116,2016,Batman: Bad Blood,39.17,618,popular,"Science Fiction, Action, Animation"
2117,2021,Oxygen,39.17,956,average,"Science Fiction, Thriller, Horror"
2118,1988,Saint Seiya: Legend of Crimson Youth,39.16,134,popular,"Action, Animation, Fantasy"
2119,2021,Afterlife of the Party,39.16,331,average,"Fantasy, Comedy, Drama"
2120,2010,The Secret World of Arrietty,39.15,2138,popular,"Fantasy, Animation, Family"
2121,2013,About Time,39.13,6761,popular,"Drama, Romance, Fantasy"
2122,2013,Stoker,39.13,1827,average,"Drama, Horror, Thriller"
2123,2015,The Witch,39.07,5316,average,"Drama, Fantasy, Horror, Mystery"
